100 4950
0 1 12162170
0 6 1987831
0 7 11323557
0 9 4562491
0 10 5308465
0 14 340342
0 17 413536
0 19 7152240
0 22 9802828
0 23 2044969
0 24 10774420
0 27 1409625
0 29 548688
0 33 6848973
0 34 5129865
0 37 6251911
0 41 1281893
0 42 12088611
0 48 8720346
0 50 2225686
0 51 5234545
0 55 1373836
0 57 9986315
0 59 1470668
0 63 4283947
0 66 12162070
0 67 2658197
0 68 7847164
0 70 11412727
0 71 10254478
0 72 5415680
0 75 7493496
0 76 1634524
0 79 6338501
0 80 3147056
0 81 2108659
0 83 8273633
0 86 2271159
0 87 357864
0 88 2448497
0 89 22876
0 91 3090045
0 93 11768944
0 94 5228865
0 97 2348761
0 98 1759659
1 0 11121616
1 2 10957577
1 3 4316629
1 9 10483182
1 11 3888038
1 12 11021864
1 13 9399996
1 14 11696257
1 16 3343427
1 23 3334047
1 25 1165174
1 27 334644
1 29 8061853
1 30 1321706
1 31 3180907
1 32 6561910
1 33 1167216
1 35 5755298
1 38 5220574
1 39 1678033
1 40 10610650
1 42 9586143
1 43 347146
1 44 4301365
1 52 2735683
1 54 6469806
1 56 10287914
1 57 670244
1 58 391358
1 61 8856600
1 62 3233574
1 63 12011902
1 66 517019
1 68 6155480
1 71 4323142
1 72 8817507
1 73 6720873
1 76 5859376
1 77 7963210
1 78 2416575
1 79 10100054
1 82 10661104
1 83 2749218
1 85 3323378
1 90 7140692
1 92 8591653
1 96 11696179
1 97 1503630
2 0 1191551
2 1 10140387
2 5 5056291
2 7 8067478
2 13 8141885
2 14 99182
2 16 3338887
2 17 11296578
2 18 10060102
2 21 2663721
2 22 7523061
2 23 8634021
2 25 8355995
2 26 8796099
2 27 4400578
2 29 3236410
2 30 10586301
2 31 9057976
2 34 8680477
2 36 321729
2 37 4193692
2 38 5595940
2 44 11000857
2 45 8313961
2 46 3800846
2 48 6925984
2 50 4764785
2 52 2090206
2 54 10490900
2 57 5837462
2 58 7961560
2 61 10290124
2 65 2915046
2 66 2637482
2 67 5150098
2 68 7980026
2 72 5636462
2 76 4280133
2 77 12216938
2 79 450442
2 80 4652792
2 82 1685548
2 85 2038148
2 87 6000222
2 94 4527002
2 95 9773107
2 96 11377895
2 97 499635
3 1 12192758
3 4 2219590
3 8 4915706
3 9 9665583
3 10 7276922
3 11 4364710
3 17 48843
3 18 7886321
3 19 9636457
3 21 11766323
3 22 67515
3 23 9037329
3 24 4169781
3 26 323737
3 27 7231173
3 29 11629154
3 31 4231008
3 35 8483891
3 36 2665297
3 40 5176779
3 42 2130738
3 44 5986197
3 47 9534236
3 48 377521
3 51 815514
3 56 2470581
3 58 8837775
3 60 164328
3 61 6224484
3 62 6095780
3 66 9578406
3 67 891848
3 68 3238745
3 70 11267412
3 72 6458861
3 75 6856017
3 77 2662230
3 79 10594206
3 80 2070857
3 82 2440642
3 83 8219445
3 85 440829
3 87 5177836
3 88 2801903
3 90 4305903
3 94 9051346
3 96 4658372
3 98 4935988
3 99 6057666
4 1 3575236
4 5 9609514
4 8 4917699
4 9 2925864
4 14 11337456
4 16 11482266
4 17 11549944
4 18 9335970
4 19 9148941
4 20 8980856
4 22 10755193
4 28 7006430
4 29 7894446
4 33 10334412
4 34 6499927
4 35 1194843
4 36 4258567
4 38 10650235
4 42 11370921
4 43 1401422
4 46 534116
4 47 9833235
4 48 11562082
4 49 11960594
4 51 237883
4 53 10101155
4 54 10043173
4 55 9538930
4 58 1142233
4 59 7139036
4 64 9049716
4 67 1865507
4 68 8981539
4 69 11336235
4 72 9682812
4 74 4237254
4 75 10197415
4 79 7122390
4 81 2318225
4 83 5962252
4 84 11423689
4 85 3475532
4 89 4634526
4 90 8453206
4 93 6951600
4 94 8800785
4 95 1284619
4 96 10019204
4 98 3432599
4 99 4962577
5 0 9660324
5 2 10419429
5 6 1875820
5 7 11640539
5 8 10383521
5 10 7442953
5 11 6451250
5 12 444468
5 14 5899051
5 16 7928666
5 19 5791122
5 20 11468744
5 22 10296186
5 25 7831339
5 29 3211568
5 30 5735832
5 31 724557
5 32 10150155
5 33 8958454
5 35 4052223
5 36 9938016
5 37 867872
5 38 7445485
5 39 2643092
5 40 882394
5 44 5192959
5 45 9961818
5 48 6457305
5 50 400774
5 51 517167
5 52 5956042
5 53 1873565
5 54 6971095
5 55 6804372
5 57 1647451
5 58 11141281
5 60 7318711
5 62 5157598
5 66 6728021
5 68 3528570
5 69 7011942
5 76 1994589
5 78 2730825
5 81 2802077
5 84 12197652
5 85 5038097
5 86 2133808
5 88 11832782
5 89 1877739
5 93 4616539
5 97 5634336
5 98 4277222
6 1 11342866
6 2 5059597
6 4 10032983
6 11 4752745
6 12 9618189
6 13 6444368
6 14 2804864
6 17 6156484
6 18 6186154
6 21 11362060
6 23 9255066
6 25 7388055
6 27 5416391
6 30 5406801
6 31 2801277
6 33 6178998
6 34 7580090
6 36 8053284
6 37 3599553
6 39 4487200
6 42 10765951
6 43 771300
6 44 318704
6 48 8924865
6 50 3077380
6 52 6438268
6 53 10505678
6 54 9650636
6 58 8763663
6 60 3536941
6 61 10563638
6 63 1412188
6 64 10693357
6 65 6089582
6 68 2970304
6 69 7043261
6 75 4754397
6 76 2108352
6 81 8817101
6 83 7892097
6 84 1360891
6 88 1564363
6 89 11505584
6 90 6457193
6 92 2715977
6 96 4597887
6 97 3877615
6 98 3650068
7 1 5414036
7 2 3881882
7 4 1437245
7 11 5240518
7 13 11381360
7 14 1260141
7 15 11818917
7 16 2087226
7 17 5785366
7 20 8386029
7 21 8209741
7 22 1194420
7 23 3655894
7 24 3760454
7 25 1518787
7 27 2385514
7 28 1425329
7 29 339657
7 30 5973892
7 32 8926034
7 33 6989495
7 34 1253210
7 35 11948952
7 36 11975623
7 37 8917755
7 38 7882684
7 43 5483895
7 44 2769556
7 45 10204358
7 46 3161467
7 51 9021031
7 52 9907617
7 53 4779557
7 58 1221123
7 60 10795254
7 62 4988487
7 63 9274744
