100 2300
0 1 1578815
0 2 187413
0 3 324978
0 5 215903
0 7 2170886
0 8 1612521
0 9 37741
0 12 1802940
0 15 1108217
0 18 1655773
0 20 1956300
0 22 1419850
0 25 1349674
0 27 1850436
0 29 2084122
0 30 99093
0 32 1111744
0 35 2305423
0 37 27867
0 39 1763687
0 40 944998
0 46 532773
0 51 1790350
0 52 1983885
0 53 181008
0 59 440744
0 62 1114745
0 65 537662
0 67 454972
0 68 2403717
0 69 1394898
0 71 245106
0 72 1557706
0 73 2298936
0 75 1705478
0 81 1763768
0 83 2285328
0 84 2606398
0 87 1496090
0 89 291566
0 90 2139022
0 91 926684
0 93 1384797
0 94 768531
0 96 1562016
0 97 1383133
0 98 466940
1 7 2635002
1 8 869043
1 12 240283
1 15 996360
1 16 146018
1 17 1021167
1 19 469216
1 21 1913325
1 25 1699591
1 26 1747053
1 30 1514728
1 31 2433343
1 33 2238658
1 35 2035246
1 37 2560403
1 40 1951635
1 43 608450
1 44 2356220
1 47 2405328
1 49 2449711
1 51 519632
1 53 1831435
1 56 2383875
1 57 2416589
1 60 1512212
1 61 1299336
1 62 1895032
1 65 2533066
1 66 323295
1 67 1654484
1 68 1683539
1 69 785935
1 71 2150911
1 72 1948086
1 73 1507320
1 74 1953586
1 75 646731
1 77 474120
1 82 1762054
1 85 1400653
1 86 1723966
1 88 2615248
1 89 714526
1 90 547242
1 91 2228260
1 92 611938
1 94 2253462
1 95 321247
1 97 296381
1 98 2054720
2 3 2524698
2 7 1195046
2 9 103011
2 12 300860
2 13 1508765
2 14 2008533
2 20 663482
2 23 524869
2 25 673650
2 26 2386524
2 30 1293151
2 32 637807
2 33 2465064
2 39 1837102
2 40 2563656
2 43 1963571
2 46 2185937
2 49 363121
2 50 2602174
2 54 781945
2 55 117247
2 56 12064
2 58 38516
2 59 2525099
2 61 1325031
2 63 2148192
2 66 599875
2 68 598327
2 69 880610
2 70 2105899
2 73 2430662
2 74 1171787
2 75 1104105
2 76 610281
2 77 1279472
2 78 2029861
2 81 358205
2 82 778115
2 83 881503
2 85 590580
2 87 847104
2 89 1946781
2 96 1817417
2 97 31467
3 5 165365
3 7 2319609
3 10 938691
3 11 1824425
3 12 963481
3 15 1188786
3 16 1713986
3 17 1577615
3 20 1592268
3 21 980731
3 25 1746839
3 28 743647
3 31 1397521
3 35 2173398
3 36 1568194
3 37 2216108
3 38 1235107
3 39 1914254
3 44 2616644
3 45 1637709
3 50 2158746
3 51 2262520
3 52 2607547
3 54 1927570
3 56 1617873
3 58 164619
3 59 1670001
